epoch,lr,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,3e-05,0.9908,0.7735,0.7752,0.4282,0.8824,0.8842
2,3e-05,0.4383,0.8776,0.879,0.3033,0.8945,0.8965
3,3e-05,0.3509,0.8854,0.8868,0.2683,0.9049,0.9066
4,3e-05,0.3152,0.897,0.8983,0.2492,0.9113,0.9129
5,3e-05,0.2961,0.8974,0.8986,0.2446,0.9138,0.9154
6,3e-05,0.2763,0.9093,0.9106,0.2385,0.9159,0.9174
7,3e-05,0.2738,0.9049,0.9062,0.2221,0.9191,0.9208
8,3e-05,0.2604,0.9099,0.9111,0.2235,0.9223,0.9237
9,3e-05,0.2498,0.9114,0.9125,0.2213,0.9188,0.9201
10,3e-05,0.2468,0.9146,0.9159,0.2141,0.9223,0.9237
11,1.5e-05,0.2391,0.917,0.9182,0.2158,0.9223,0.9238
12,1.5e-05,0.2372,0.9193,0.9205,0.2095,0.9213,0.9227
13,1.5e-05,0.2382,0.9186,0.9197,0.2112,0.9209,0.9225
14,7.5e-06,0.2352,0.9173,0.9186,0.217,0.9173,0.919
15,7.5e-06,0.2344,0.9177,0.9188,0.2063,0.9255,0.9269
