epoch,lr,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,3e-05,0.5876,0.8325,0.8348,0.2245,0.9227,0.9241
2,3e-05,0.2681,0.9108,0.9118,0.188,0.9295,0.9306
3,3e-05,0.2105,0.9277,0.9287,0.1888,0.9323,0.9334
4,3e-05,0.171,0.9413,0.9421,0.2138,0.928,0.9293
5,3e-05,0.1465,0.9504,0.9512,0.2142,0.9266,0.9278
6,1.5e-05,0.1098,0.9616,0.9622,0.2143,0.9312,0.9321
7,1.5e-05,0.0992,0.9654,0.966,0.2261,0.9334,0.9345
8,1.5e-05,0.083,0.972,0.9725,0.2301,0.9298,0.9311
9,1.5e-05,0.082,0.9724,0.973,0.2509,0.9291,0.9303
10,7.5e-06,0.0625,0.9779,0.9783,0.2559,0.9327,0.9338
11,7.5e-06,0.0571,0.9811,0.9814,0.2486,0.9359,0.9369
12,7.5e-06,0.0543,0.9805,0.9808,0.264,0.9337,0.9349
13,7.5e-06,0.0421,0.9856,0.9858,0.2758,0.9298,0.9312
14,3.75e-06,0.0413,0.9867,0.987,0.2843,0.9295,0.9307
15,3.75e-06,0.0392,0.9856,0.9859,0.2831,0.928,0.9292
