epoch,lr,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,3e-05,1.2342,0.5183,0.5078,1.0024,0.6256,0.6107
2,3e-05,1.0304,0.612,0.6087,0.8993,0.6708,0.6672
3,3e-05,0.9485,0.6512,0.6495,0.8164,0.7125,0.7131
4,3e-05,0.8917,0.6771,0.6763,0.7831,0.7349,0.7368
5,3e-05,0.8621,0.6856,0.6849,0.7559,0.7307,0.7326
6,3e-05,0.8267,0.6947,0.6947,0.7435,0.7221,0.7234
7,1.5e-05,0.7943,0.7098,0.71,0.6897,0.7595,0.7618
8,1.5e-05,0.7767,0.716,0.7159,0.6945,0.7599,0.7622
9,1.5e-05,0.7681,0.7237,0.7234,0.6766,0.7577,0.7594
10,1.5e-05,0.7589,0.7193,0.7192,0.6795,0.7574,0.7592
11,7.5e-06,0.7462,0.7288,0.729,0.649,0.7784,0.7801
12,7.5e-06,0.7321,0.7358,0.7357,0.6408,0.7823,0.7838
13,7.5e-06,0.7256,0.7379,0.7376,0.6412,0.7756,0.7775
14,7.5e-06,0.7303,0.7347,0.7347,0.6484,0.772,0.7735
15,3.75e-06,0.7174,0.7428,0.7428,0.6363,0.783,0.7845
