epoch,lr,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,3e-05,0.3676,0.8822,0.8835,0.1924,0.9359,0.937
2,3e-05,0.2102,0.9293,0.9304,0.1826,0.9377,0.9389
3,3e-05,0.1779,0.9403,0.9413,0.1744,0.9409,0.9419
4,3e-05,0.1642,0.9425,0.9435,0.1837,0.9423,0.9435
5,3e-05,0.1492,0.9501,0.9511,0.1888,0.9416,0.9426
6,3e-05,0.1415,0.9523,0.9533,0.186,0.9394,0.9408
7,1.5e-05,0.1244,0.9576,0.9584,0.197,0.9405,0.9419
8,1.5e-05,0.1192,0.9606,0.9614,0.197,0.9434,0.9445
9,1.5e-05,0.1143,0.961,0.9618,0.198,0.9423,0.9433
10,1.5e-05,0.1089,0.9625,0.9632,0.1998,0.943,0.944
11,7.5e-06,0.1008,0.9659,0.9666,0.203,0.9419,0.943
12,7.5e-06,0.099,0.9683,0.969,0.204,0.9409,0.9421
13,3.75e-06,0.0948,0.9656,0.9663,0.2049,0.9423,0.9434
