epoch,lr,train_loss,train_acc,train_f1_macro,val_loss,val_acc,val_f1_macro
1,3e-05,0.3198,0.8937,0.8949,0.193,0.9298,0.931
2,3e-05,0.1767,0.9353,0.9364,0.1845,0.9309,0.9322
3,3e-05,0.1545,0.9458,0.9468,0.1754,0.9373,0.9383
4,3e-05,0.1369,0.9524,0.9533,0.199,0.933,0.9337
5,3e-05,0.1264,0.9557,0.9566,0.1808,0.9348,0.9359
6,1.5e-05,0.1057,0.9613,0.9621,0.1843,0.9387,0.9395
7,1.5e-05,0.1018,0.9654,0.9661,0.1841,0.9352,0.9363
8,1.5e-05,0.0948,0.9659,0.9667,0.2074,0.9341,0.9352
9,7.5e-06,0.085,0.9706,0.9712,0.2055,0.9316,0.933
10,7.5e-06,0.0837,0.9694,0.9701,0.2098,0.9334,0.9347
11,3.75e-06,0.078,0.9738,0.9744,0.2021,0.9355,0.9366
